,Name,UTM Easting,UTM Northing,Year,Wasaga Easting,Wasaga Northing,In_Polygon,Sewer_Installation_Period,Year End
0,Untitled Placemark,572149.2053304325,4924781.930550895,1978,127.73909552170527,1529.6120892746303,True,2006-2010,2010.0
1,Untitled Placemark,572247.0922363288,4924821.243736504,1978,229.82329139539746,1507.6922651834907,True,2006-2010,2010.0
2,Untitled Placemark,572200.5620345173,4924800.475808564,1978,180.14635810177526,1516.4045143465573,True,2006-2010,2010.0
3,Untitled Placemark,572164.9304188166,4924788.286626361,1978,144.16092588300518,1526.1240764481718,True,2006-2010,2010.0
4,Untitled Placemark,572131.0843047297,4924773.860013462,1978,108.40225017669567,1533.0193719823965,True,2006-2010,2010.0
5,Untitled Placemark,572103.0252822072,4924758.047212034,1978,76.62513647872419,1535.5740679991068,True,1996-2000,2000.0
6,Untitled Placemark,572364.9671080142,4924878.2965777805,1978,358.1281032791156,1489.2661652302534,True,2006-2010,2010.0
7,Untitled Placemark,572425.4493924681,4924910.256453841,1978,425.4485827872063,1482.0154988853599,True,2006-2010,2010.0
8,Untitled Placemark,572465.1893065877,4924925.843788822,1978,466.6860801978384,1472.8105010255063,True,2006-2010,2010.0
9,Untitled Placemark,572333.4579670522,4924857.938258759,1978,321.00395980785385,1490.0004875859588,True,2006-2010,2010.0
10,Untitled Placemark,572388.2480562401,4924888.517616784,1978,382.8893962520625,1484.7675753051335,True,2006-2010,2010.0
11,Untitled Placemark,572310.3010637757,4924845.165344133,1978,294.93201209685066,1492.3363857864938,True,2006-2010,2010.0
12,Untitled Placemark,572433.9552903982,4924861.540651647,1978,405.4645681086921,1437.3320352358824,True,2006-2010,2010.0
13,Untitled Placemark,572748.2903917198,4925038.095471382,1978,761.1253833339782,1408.2283165813026,True,2006-2010,2010.0
14,Untitled Placemark,572663.9918363214,4924989.074371799,1978,664.8183408533746,1414.6609094229375,True,2006-2010,2010.0
15,Untitled Placemark,572706.7245102791,4925005.929285652,1978,709.2132510427307,1404.8395987537892,False,Unknown,
16,Untitled Placemark,572672.4997592224,4925037.291702105,1978,698.4877605541811,1449.5183098157024,True,2006-2010,2010.0
17,Untitled Placemark,572704.9576933379,4925049.66366918,1978,731.9700837344212,1441.7053477580246,True,2006-2010,2010.0
18,Untitled Placemark,573478.5855255254,4925276.5178507455,1978,1492.3604723958515,1199.6614548016519,True,1996-2000,2000.0
19,Untitled Placemark,573477.0433410034,4925243.835836238,1978,1473.0057235730021,1173.6966344724447,True,1996-2000,2000.0
20,Untitled Placemark,573489.4219552722,4925203.458845226,1978,1460.81507662224,1133.712363803819,True,1996-2000,2000.0
